TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
Mercaptoethanol,XIC,eTargetCompound,C2H6OS,,,ESI,5000,,0,,79.02121,M+H,+,1,0,120,,,,,101.00316,M+Na,+,1,0,60,,,,,96.04776,M+NH4,+,1,0,60,,,,,77.00666,M-H,-,1,0,60,,,
Pyridine,XIC,eTargetCompound,C5H5N,,,ESI,5000,,0,,80.04948,M+H,+,1,0,120,,,,,102.03142,M+Na,+,1,0,60,,,,,97.07602,M+NH4,+,1,0,60,,,,,78.03492,M-H,-,1,0,60,,,
Pyrimidine,XIC,eTargetCompound,C4H4N2,,,ESI,5000,,0,,81.04472,M+H,+,1,0,120,,,,,103.02667,M+Na,+,1,0,60,,,,,98.07127,M+NH4,+,1,0,60,,,,,79.03017,M-H,-,1,0,60,,,
Sulfite,XIC,eTargetCompound,H2O3S,,,ESI,5000,,0,,82.97974,M+H,+,1,0,120,,,,,104.96169,M+Na,+,1,0,60,,,,,100.00629,M+NH4,+,1,0,60,,,,,80.96519,M-H,-,1,0,60,,,
Phosphonate,XIC,eTargetCompound,H3O3P,,,ESI,5000,,0,,82.98926,M+H,+,1,0,120,,,,,104.9712,M+Na,+,1,0,60,,,,,100.01581,M+NH4,+,1,0,60,,,,,80.9747,M-H,-,1,0,60,,,
5-Aminoimidazole,XIC,eTargetCompound,C3H5N3,,,ESI,5000,,0,,84.05562,M+H,+,1,0,120,,,,,106.03757,M+Na,+,1,0,60,,,,,101.08217,M+NH4,+,1,0,60,,,,,82.04107,M-H,-,1,0,60,,,
1-Methylpyrrolinium,XIC,eTargetCompound,C5H9N,,,ESI,5000,,0,,84.08078,M+H,+,1,0,120,,,,,106.06272,M+Na,+,1,0,60,,,,,101.10732,M+NH4,+,1,0,60,,,,,82.06622,M-H,-,1,0,60,,,
Piperideine,XIC,eTargetCompound,C5H9N,,,ESI,5000,,0,,84.08078,M+H,+,1,0,120,,,,,106.06272,M+Na,+,1,0,60,,,,,101.10732,M+NH4,+,1,0,60,,,,,82.06622,M-H,-,1,0,60,,,
4-Hydroxy-2-butynal,XIC,eTargetCompound,C4H4O2,,,ESI,5000,,0,,85.02841,M+H,+,1,0,120,,,,,107.01035,M+Na,+,1,0,60,,,,,102.05496,M+NH4,+,1,0,60,,,,,83.01385,M-H,-,1,0,60,,,
Imidazolone,XIC,eTargetCompound,C3H4N2O,,,ESI,5000,,0,,85.03964,M+H,+,1,0,120,,,,,107.02158,M+Na,+,1,0,60,,,,,102.06619,M+NH4,+,1,0,60,,,,,83.02509,M-H,-,1,0,60,,,
"3-Amino-1,2,4-triazole",XIC,eTargetCompound,C2H4N4,,,ESI,5000,,0,,85.05087,M+H,+,1,0,120,,,,,107.03282,M+Na,+,1,0,60,,,,,102.07742,M+NH4,+,1,0,60,,,,,83.03632,M-H,-,1,0,60,,,
3-Methylbut-2-enal,XIC,eTargetCompound,C5H8O,,,ESI,5000,,0,,85.06479,M+H,+,1,0,120,,,,,107.04674,M+Na,+,1,0,60,,,,,102.09134,M+NH4,+,1,0,60,,,,,83.05024,M-H,-,1,0,60,,,
Cyclopentanone,XIC,eTargetCompound,C5H8O,,,ESI,5000,,0,,85.06479,M+H,+,1,0,120,,,,,107.04674,M+Na,+,1,0,60,,,,,102.09134,M+NH4,+,1,0,60,,,,,83.05024,M-H,-,1,0,60,,,
